FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1092,CHN41391,scpu__,sc,9039.820089700000608,3136362.952159999869764
1093,CHN41392,pi____,pi,150837.860354000004008,346981174.529999971389771
1094,CHN41393,scpu__,sc,18333.701082399998995,16967128.576499998569489
1095,CHN41394,vapysr,va,30504.648452199999156,40173639.309900000691414
1096,CHN41397,pa____,pa,76663.017054700001609,169611551.333000004291534
1097,CHN41400,pi____,pi,27900.083680100000493,22141513.529199998825788
1098,CHN41402,smmxvr,sm,49732.124056200002087,58653350.396600000560284
1099,CHN41403,mtpu__,mt,43999.926106099999743,67387980.425500005483627
1100,CHN41404,smmxvr,sm,95235.429633099993225,119320339.777999997138977
1101,CHN41405,pb____,pb,11690.923456000000442,4703434.509010000154376
1102,CHN41406,scmx__,sc,29142.563013099999807,15344794.186000000685453
1103,CHN41407,pa____,pa,67959.995749499998055,80145469.854100003838539
1104,CHN41409,smmxvr,sm,9572.613484350000363,4795228.812029999680817
1105,CHN41411,pa____,pa,11770.706992600000376,6318419.637059999629855
1106,CHN41413,smmxvr,sm,50849.608422299999802,52750085.845799997448921
1107,CHN41417,scshvr,sc,22834.442927100000816,18762185.785599999129772
1108,CHN41419,smmx__,sm,21187.577622799999517,15089036.301000000908971
1109,CHN41425,pa____,pa,34038.285319299997354,41983554.737999998033047
1110,CHN41427,mt____,mt,361969.102019999991171,834883572.113000035285950
1111,CHN41431,ig____,ig,17749.614080399998784,23024907.119600001722574
1112,CHN41435,smmx__,sm,18260.186661600000662,9673561.551170000806451
1113,CHN41438,ssmxvr,ss,32494.252979600001709,19660471.339899998158216
1114,CHN41440,pa____,pa,10542.876966300000277,6450617.503759999759495
1115,CHN41444,mtpu__,mt,8010.589514809999855,3897895.281979999970645
1116,CHN41453,ssshmt,ss,137804.371764999988955,169205524.236999988555908
1117,CHN41464,pa____,pa,11287.975524800000130,7710136.336919999681413
1118,CHN41466,pa____,pa,10919.680177199999889,4573909.337810000404716
1119,CHN41467,sspy__,ss,37119.019274799997220,49568472.344899997115135
1120,CHN41475,pa____,pa,24100.101170599999023,19751726.699999999254942
1121,CHN41479,pa____,pa,42022.104581200001121,51775274.061599999666214
1122,CHN41481,sspy__,ss,62700.972273699997459,113823827.615999996662140
1123,CHN41489,pb____,pb,35477.579197400002158,26614284.868299998342991
1124,CHN41490,scmx__,sc,64451.698758999998972,72595337.887299999594688
1125,CHN41493,pa____,pa,23514.763701299998502,18853002.348799999803305
1126,CHN41494,smmxvr,sm,18648.621215200000734,6843850.830310000106692
1127,CHN41496,smmxvr,sm,28034.470965399999841,42182279.207299999892712
1128,CHN41500,vapysr,va,22839.000491800001328,18733599.206099998205900
1129,CHN41501,pa____,pa,15807.729851800000688,9964331.651070000603795
1130,CHN41502,ssmxcl,ss,12170.876444800000172,8479814.821750000119209
1131,CHN41503,sspy__,ss,22895.352608199998940,25406838.276000000536442
1132,CHN41504,vapysr,va,19817.029501799999707,21486249.858600001782179
1133,CHN41505,smmxvr,sm,112044.290007999996305,147982091.951999992132187
1134,CHN41509,sush__,su,33073.149929400002293,22311202.587000001221895
1135,CHN41516,smmx__,sm,652159.192696999991313,2149751353.639999866485596
1136,CHN41518,smmxvr,sm,14099.629298300000301,9618364.800629999488592
1137,CHN41523,pa____,pa,23740.200992800000677,26210547.515299998223782
1138,CHN41528,smmxvr,sm,108197.956529999995837,99268244.036200001835823
1139,CHN41532,pa____,pa,14163.553685900000346,11764308.858500000089407
1140,CHN41534,smmxvr,sm,39665.146637300000293,49993107.226499997079372
1141,CHN41537,ig____,ig,16754.658875599998282,15540576.626399999484420
1142,CHN41543,pa____,pa,107055.899195000005420,348571519.605000019073486
1143,CHN41551,pa____,pa,34675.222460500001034,59061022.778200000524521
1144,CHN42194,ig____,ig,95180.516901599999983,123228256.267000004649162
1145,CHN42489,vb____,vb,5050.545591400000376,873496.002657999983057
1146,CHN43335,scmx__,sc,132190.079518999991706,78562344.531399995088577
