,Qw(m3/s),Qs(kg/s),Qb(kg/s),CsBin1,CsBin2,CsBin3,CsBin4,vel(m/s),wid(m),dep(m),temp(deg.C),prec(m)
13139,884.000 ,5.261 ,18.554 ,0.001,0.001,0.001,0.002 ,0.845,  1152.078,  0.908  ,16.92407, 0.00000 
13140,884.001 ,2.689 ,18.554 ,0.001,0.001,0.001,0.001 ,0.845,  1152.078,  0.908  ,16.94273, 0.00000 
13141,884.000 ,2.345 ,18.554 ,0.001,0.001,0.001,0.001 ,0.845,  1152.078,  0.908  ,16.90562, 0.00000 
13142,884.000 ,1.746 ,18.554 ,0.000,0.000,0.000,0.001 ,0.845,  1152.078,  0.908  ,18.75538, 0.00000 
13143,884.000 ,1.567 ,18.554 ,0.000,0.000,0.000,0.001 ,0.845,  1152.078,  0.908  ,20.06734, 0.00000 
13144,884.000 ,0.733 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,20.32316, 0.00000 
13145,1659.409 ,9.531 ,34.828 ,0.001,0.001,0.001,0.002 ,1.047,  1357.039,  1.168  ,20.57873, 0.00002 
13146,1838.637 ,10.983 ,38.590 ,0.001,0.001,0.001,0.002 ,1.085,  1393.713,  1.216  ,19.44717, 0.00804 
13147,1893.674 ,8.702 ,39.745 ,0.001,0.001,0.001,0.002 ,1.095,  1404.442,  1.231  ,19.30912, 0.00214 
13148,1937.278 ,8.661 ,40.660 ,0.001,0.001,0.001,0.002 ,1.104,  1412.779,  1.242  ,19.41881, 0.00022 
13149,2028.874 ,16.167 ,42.582 ,0.002,0.002,0.002,0.003 ,1.121,  1429.851,  1.265  ,19.02521, 0.00022 
13150,2077.521 ,36.841 ,43.603 ,0.004,0.004,0.004,0.006 ,1.131,  1438.687,  1.277  ,18.85456, 0.00007 
13151,2071.925 ,29.172 ,43.486 ,0.003,0.003,0.004,0.005 ,1.129,  1437.678,  1.276  ,18.42135, 0.00000 
13152,2071.458 ,10.114 ,43.476 ,0.001,0.001,0.001,0.002 ,1.129,  1437.594,  1.276  ,17.77040, 0.00000 
13153,2032.444 ,13.903 ,42.657 ,0.001,0.001,0.002,0.002 ,1.122,  1430.504,  1.266  ,17.79174, 0.00000 
13154,1988.171 ,20.669 ,41.728 ,0.002,0.002,0.003,0.004 ,1.114,  1422.336,  1.255  ,18.65918, 0.00000 
