FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1321,HIMAL894,mt____,mt,153357.019199000002118,262278119.277000010013580
1322,HIMAL895,mt____,mt,273690.743641000008211,534279898.800000011920929
1323,HIMAL896,ssmxvr,ss,208077.669171999994433,269994864.561999976634979
1324,HIMAL897,mt____,mt,234887.499080999987200,263706807.893999993801117
1325,HIMAL898,mt____,mt,277331.826449999993201,347006147.800000011920929
1326,HIMAL899,mtam__,mt,219638.589765999990050,947047025.750000000000000
1327,HIMAL900,pa____,pa,14076.632267700000739,10620223.389100000262260
1328,HIMAL901,pa____,pa,73965.512645099996007,127374631.802000001072884
1329,HIMAL902,pa____,pa,99388.811772400003974,137410157.227999985218048
1330,HIMAL903,pa____,pa,4572.178367950000393,1556451.645220000064000
1331,HIMAL904,pa____,pa,4024.524894900000163,1186467.734799999976531
1332,HIMAL905,pa____,pa,6610.249646340000254,2840979.882100000046194
1333,HIMAL906,pa____,pa,23714.037109100001544,23149628.218699999153614
1334,HIMAL907,pa____,pa,9093.973244259999774,5040132.151789999566972
1335,HIMAL909,ssshmt,ss,7003.722795290000249,3360265.269410000182688
1336,HIMAL910,ssshmt,ss,60565.236539099998481,42679695.227600000798702
1337,HIMAL911,smshmt,sm,332430.313373000011779,907138528.253000020980835
1338,HIMAL912,smsh__,sm,204049.387867000012193,263180765.824999988079071
1339,HIMAL918,smssmt,sm,46736.818927100001019,29452022.664700001478195
1340,HIMAL919,scmxmt,sc,46393.733712399996875,34246012.192299999296665
1341,HIMAL920,smsh__,sm,82922.165673299998161,42830937.941899999976158
1342,HIMAL921,smmxmt,sm,76321.055057699995814,84039660.580699995160103
1343,HIMAL922,scmx__,sc,35404.297438900000998,15270624.543700000271201
1344,HIMAL923,scmx__,sc,39157.056786100001773,16079223.788399999961257
1345,HIMAL924,scsh__,sc,64862.998370399996929,69674697.468799993395805
1346,HIMAL925,smss__,sm,12689.271844799999599,4126245.506010000128299
1347,HIMAL926,scsh__,sc,19911.093804200001614,10303812.375499999150634
1348,HIMAL927,smmxmt,sm,39731.573283799996716,43974210.088899999856949
1349,HIMAL928,scmx__,sc,30395.149423800001387,19887273.635000001639128
1350,HIMAL929,smsh__,sm,29358.435260199999902,14188217.434100000187755
1351,HIMAL930,scmxmt,sc,90532.224194499998703,131464422.472000002861023
1352,HIMAL931,smssmt,sm,43205.285436500002106,65659688.249700002372265
1353,HIMAL932,smssmt,sm,95782.991931399999885,203650604.495000004768372
1354,HIMAL934,smshmt,sm,177240.187030000000959,439492342.291999995708466
1355,HIMAL941,pa____,pa,16523.083790199998475,14209602.948699999600649
1356,HIMAL942,pa____,pa,21627.961749900001450,11890208.891899999231100
1357,HIMAL943,pa____,pa,5364.160031770000387,2035469.012020000023767
1358,HIMAL944,ssshmt,ss,6138.656961749999937,2810179.330769999884069
1359,HIMAL945,pa____,pa,52365.621147799996834,44956205.191200003027916
1360,HIMAL1337,ssmx__,ss,195804.545413000014378,373546975.603999972343445
1361,HIMAL1338,ssmx__,ss,92697.326476999995066,140929510.495999991893768
1362,HIMAL1339,ssmx__,ss,178306.925373000005493,216158085.428999990224838
1363,HIMAL1340,ssmx__,ss,180047.856024999986403,354867910.407999992370605
1364,HIMAL1341,ssmx__,ss,59598.304647099997965,57094999.562899999320507
1365,HIMAL1342,ssmx__,ss,120564.154941999993753,172699535.148999989032745
1366,HIMAL1343,ssmx__,ss,181109.507956999994349,258942128.617000013589859
1367,HIMAL1344,suad__,su,208414.528072999994038,239665286.553000003099442
1368,HIMAL1345,ssmx__,ss,61032.882591200002935,49395955.751500003039837
1369,HIMAL1346,ssmx__,ss,152446.206049000000348,320330288.861999988555908
1370,HIMAL1347,ssmx__,ss,16583.236293599999044,6210444.674479999579489
1371,HIMAL1348,ssmx__,ss,136936.544702000013785,223594326.347999989986420
1372,HIMAL1349,suad__,su,238966.017785000003641,562795985.712000012397766
1373,HIMAL1350,ssmx__,ss,93285.130325699996320,70269101.199699997901917
1374,HIMAL1351,suad__,su,306794.594296000024769,1437482887.339999914169312
1375,HIMAL1352,ssmx__,ss,26297.997028400001000,29261997.405499998480082
1376,HIMAL1368,pa____,pa,14500.231613199999629,6897673.893910000100732
1377,HIMAL1369,pa____,pa,6403.622458470000311,2918634.340669999830425
1378,HIMAL1370,ssshmt,ss,263356.200347999983933,817339680.049000024795532
1379,HIMAL1371,smmx__,sm,94121.077690000005532,295815743.995000004768372
1380,HIMAL1372,scsh__,sc,59889.886415900000429,19715710.195199999958277
1381,HIMAL1373,smmx__,sm,56932.199176000001899,63370536.316299997270107
1382,HIMAL1374,smmxmt,sm,109315.260408000001917,84844910.354200005531311
1383,HIMAL1375,scsh__,sc,45344.035536000003049,15166238.855699999257922
1384,HIMAL1376,ssmx__,ss,53709.083921999997983,35054591.400300003588200
1385,HIMAL1377,smmx__,sm,34182.970447599996987,29694643.287200000137091
1386,HIMAL1378,ssmx__,ss,9947.647182540000358,5105211.016699999570847
1387,HIMAL1379,ssmx__,ss,18739.301655999999639,11324634.699300000444055
1388,HIMAL1380,ssmx__,ss,55818.835200599998643,27134452.870200000703335
1389,HIMAL1381,scsh__,sc,207743.125734000001103,90786576.332100003957748
1390,HIMAL1382,smmxmt,sm,60816.076584900001762,34202261.675499998033047
1391,HIMAL1383,scmx__,sc,69967.218272300000535,39161642.703100003302097
1392,HIMAL1384,smsh__,sm,213592.480836000002455,223645262.338999986648560
1393,HIMAL1385,smssmt,sm,122859.533165999993798,154509947.469000011682510
1394,HIMAL1386,scmxmt,sc,238536.711676000006264,348887024.185999989509583
1395,HIMAL1387,smmx__,sm,126950.385775000002468,435914638.250000000000000
1396,HIMAL1388,ssmx__,ss,111623.174719999995432,100386992.587999999523163
1397,HIMAL1389,vb____,vb,124782.525152000001981,143253125.055999994277954
1398,HIMAL1390,smmx__,sm,30925.919096599998738,17074006.315600000321865
1399,HIMAL1391,smss__,sm,377837.364380999992136,1080200663.059999942779541
1400,HIMAL1392,ssmx__,ss,11416.819675700000516,6029074.886920000426471
1401,HIMAL1393,mtam__,mt,81834.468637400001171,389002664.794000029563904
